scandal,"voltage reading","current reading",resistance,,
-937,0.9,2.6,0.346153846153846,,0.407800708521979
-847,102.8,252.5,0.407128712871287,,
-644,337.5,828,0.407608695652174,,
-516,485.1,1189.8,0.407715582450832,,
-238,811.5,1990,0.407788944723618,,
109,1214.5,2978,0.407824042981867,,
494,1663.3,4078.1,0.407861504131826,,
859,2086.4,5115,0.407898338220919,,
1174,2453.2,6015,0.407847049044056,,
1523,2861,7017,0.407724098617643,,
1872,3270,8018,0.407832377151409,,
2232,3692,9055,0.407730535615682,,
2533,4044,9917,0.40778461228194,,
4108,5893,14450.6860259228,0.407800708521979,,
6036,8157,20002.4174297391,,,
7777,10210,25036.739237175,,,
9498,12237,30007.3044118815,,,
11266,14313,35098.026317501,,,
13295,16720,41000.4192013287,,,
14808,18522,45419.2442851082,,,
16319,20306,49793.9301616136,,,
,,0,,,
